year,car,vehicle_db_match,lap_time_s,lap_time_str,tires,tire_category,mod_level,source_quality,driver_level,notes
2023,Honda Civic Type R FL5,honda_civic_type_r_fl5,178.8,2:58.8,Michelin Pilot Sport Cup 2,super_200tw,stock,professional,pro,FWD record at event. 315hp 3174lb.
2022,Honda Civic Type R FK8 LE,honda_civic_type_r_fk8,180.7,3:00.7,Michelin Pilot Sport Cup 2,super_200tw,stock,professional,pro,306hp. Stripped weight FK8 variant.
2018,Honda Civic Type R FK8,honda_civic_type_r_fk8,183.9,3:03.9,Michelin Pilot Sport 4S,endurance_200tw,stock,professional,pro,306hp 3084lb.
2022,Toyota GR86 Premium,toyota_gr86_zn8,191.8,3:11.8,Michelin Pilot Sport 4S,endurance_200tw,stock,professional,pro,228hp 2833lb.
2023,Toyota GR Corolla Morizo,toyota_gr_corolla,179.6,2:59.6,Michelin Pilot Sport 4S,endurance_200tw,stock,professional,pro,AWD. 300hp 3197lb. Morizo Edition.
2026,Toyota GR Corolla,toyota_gr_corolla,187.1,3:07.1,Michelin Pilot Sport 4S,endurance_200tw,stock,professional,pro,AWD. Standard GR Corolla. 300hp 3340lb.
2023,Toyota GR Supra 3.0 Manual,toyota_gr_supra_a90,175.6,2:55.6,Michelin Pilot Sport 4S,endurance_200tw,stock,professional,pro,382hp. Manual trans.
2021,Toyota GR Supra 3.0,toyota_gr_supra_a90,179.3,2:59.3,Michelin Pilot Super Sport,endurance_200tw,stock,professional,pro,382hp 3402lb.
2023,Chevrolet Corvette Z06 C8,chevrolet_corvette_c8_z06,158.6,2:38.6,Michelin Pilot Sport 4S,endurance_200tw,stock,professional,pro,670hp LT6. May have had Z07 pkg.
2021,Chevrolet Corvette Stingray Z51 C8,chevrolet_corvette_c8_z51,169.0,2:49.0,Michelin Pilot Sport 4S,endurance_200tw,stock,professional,pro,495hp 3665lb.
2019,Chevrolet Corvette ZR1 C7,chevrolet_corvette_c7_zr1,159.5,2:39.5,Michelin Pilot Sport Cup 2,super_200tw,stock,professional,pro,755hp LT5. ZTK package.
2019,Chevrolet Camaro ZL1 1LE,chevrolet_camaro_zl1_6th,165.0,2:45.0,Goodyear Eagle F1 SuperCar 3R,100tw,stock,professional,pro,650hp 3880lb.
2018,Chevrolet Camaro ZL1 1LE,chevrolet_camaro_zl1_6th,165.7,2:45.7,Goodyear Eagle F1 SuperCar 3R,100tw,stock,professional,pro,650hp.
2016,Chevrolet Camaro SS 1LE,chevrolet_camaro_ss_1le_6g,174.8,2:54.8,Goodyear Eagle F1 SuperCar 3R,100tw,stock,professional,pro,455hp. 6th gen.
2024,BMW M3 CS G80,bmw_m3_g80,170.0,2:50.0,Michelin Pilot Sport Cup 2 R,100tw,stock,professional,pro,543hp 3893lb. AWD.
2022,BMW M3 Competition xDrive G80,bmw_m3_g80,173.5,2:53.5,Michelin Pilot Sport 4S,endurance_200tw,stock,professional,pro,503hp 3917lb. AWD.
2023,BMW M4 CSL G82,bmw_m4_f82_competition,167.5,2:47.5,Michelin Pilot Sport Cup 2 R,100tw,stock,professional,pro,543hp. Lightest M4 variant.
2024,BMW M2 G87,bmw_m2_g87,176.9,2:56.9,Michelin Pilot Sport 4S,endurance_200tw,stock,professional,pro,453hp 3857lb.
2019,BMW M2 Competition F87,bmw_m2_f87,179.7,2:59.7,Michelin Pilot Super Sport,endurance_200tw,stock,professional,pro,405hp 3621lb.
2016,BMW M2 F87,bmw_m2_f87,181.9,3:01.9,Michelin Pilot Super Sport,endurance_200tw,stock,professional,pro,365hp.
2023,BMW M240i xDrive G42,bmw_m240i_g42,180.6,3:00.6,Michelin Pilot Sport 4S,endurance_200tw,stock,professional,pro,382hp 3851lb. AWD. With cooling+tire pkg.
2024,Ford Mustang Dark Horse S650,ford_mustang_gt_s650,171.2,2:51.2,Michelin Pilot Sport Cup 2,super_200tw,stock,professional,pro,500hp 4024lb.
2022,Ford Mustang Mach 1 S550,ford_mustang_gt_s550,171.4,2:51.4,Michelin Pilot Sport Cup 2,super_200tw,stock,professional,pro,480hp 3811lb. GT350R camber plates.
